STATE_NAME,likes_Mean,retweet_count_Mean,user_followers_count_Mean,TextBlob_Subjectivity_Mean,TextBlob_Polarity_Mean,likes_Skewness,retweet_count_Skewness,user_followers_count_Skewness,TextBlob_Subjectivity_Skewness,TextBlob_Polarity_Skewness,likes_Median,retweet_count_Median,user_followers_count_Median,TextBlob_Subjectivity_Median,TextBlob_Polarity_Median,likes_Variance,retweet_count_Variance,user_followers_count_Variance,TextBlob_Subjectivity_Variance,TextBlob_Polarity_Variance,likes_Std,retweet_count_Std,user_followers_count_Std,TextBlob_Subjectivity_Std,TextBlob_Polarity_Std,likes_0_1_quant,retweet_count_0_1_quant,user_followers_count_0_1_quant,TextBlob_Subjectivity_0_1_quant,TextBlob_Polarity_0_1_quant,likes_0_9_quant,retweet_count_0_9_quant,user_followers_count_0_9_quant,TextBlob_Subjectivity_0_9_quant,TextBlob_Polarity_0_9_quant
Alabama,3.967798594847775,0.9724824355971897,6975.041569086651,0.3361369256989866,0.08379075476742312,15.354061392810113,14.302827438088716,3.66586093235937,0.4607249423431692,0.33923231264967396,0.0,0.0,681.0,0.3,0.0,480.1565488709527,28.248217149661993,416129195.0263909,0.10745880167920863,0.08223792027167846,21.91247473178127,5.3149051872692885,20399.24496216443,0.32780909334429487,0.28677154717942027,0.0,0.0,19.0,0.0,-0.1555555555555555,6.0,2.0,8226.0,0.8,0.5
Alaska,1.191977077363897,0.2922636103151863,3201.9828080229227,0.33184100263792243,0.06112616318026226,8.201224417758068,22.596757887736096,4.311367240469726,0.32777477376012265,0.5834814249744364,0.0,0.0,136.0,0.3562499999999999,0.0,18.468113445671804,5.908720550209038,110072209.68980451,0.09006484098346001,0.06929916927462733,4.297454298264475,2.4307859943255057,10491.53037882484,0.3001080488481774,0.26324735378466263,0.0,0.0,11.0,0.0,-0.1953125,3.0,1.0,4188.0,0.7170238095238096,0.4166666666666667
Arizona,5.016849337477507,1.1248159659741535,2947.507443153934,0.32129464349514225,0.06884096343816869,38.97087209505314,27.82262623153368,22.353000972427346,0.5172540623104388,0.20780734520534036,0.0,0.0,422.0,0.3,0.0,5229.4062932785055,184.66913701210123,148752143.7967785,0.09677645139345183,0.08064339794507451,72.31463401883816,13.589302300416355,12196.398804433155,0.3110891373761736,0.2839778124168762,0.0,0.0,27.0,0.0,-0.2,4.0,1.0,5949.0,0.75,0.4333333333333333
Arkansas,1.3715341959334566,0.411275415896488,4821.268022181146,0.3249718713160257,0.07269028716712224,8.06527243512085,7.33319046383886,5.191989238382109,0.4660712801337779,0.4800310093672319,0.0,0.0,1035.0,0.30520833333333336,0.0,21.51215842112373,2.621630379210053,426176137.21949494,0.10065250177489717,0.06838765140597222,4.638120138711774,1.6191449531187914,20644.033937665743,0.31725778441970054,0.2615103275321497,0.0,0.0,34.300000000000026,0.0,-0.1937499999999999,3.0,1.0,2187.0,0.75,0.4
California,5.424561023195317,1.2397210781125805,7322.299407471638,0.31879115038892386,0.06625853560431086,95.09628277866457,104.154739464427,32.793311819031764,0.5141861273457077,0.29785003235718177,0.0,0.0,507.5,0.3,0.0,13503.820611811532,1238.3826014144076,11468733277.468493,0.09921956055886065,0.07934047851787931,116.20594051859626,35.19066071295632,107092.17187763302,0.3149913658481144,0.28167441935305254,0.0,0.0,25.0,0.0,-0.2,4.0,1.0,5792.0,0.75,0.4375
Colorado,2.788580491673275,0.63441712926249,3827.468834258525,0.32103468168984906,0.05223021869518067,44.745950999804606,28.461155567183564,18.948490317700625,0.5104434458704015,0.3416579320728481,0.0,0.0,427.0,0.3,0.0,1435.5579279497756,48.223402836762446,676787878.9467219,0.09713879946475881,0.07444659376377499,37.88875727639765,6.94430722511342,26015.147105998112,0.3116709795036407,0.272849031084545,0.0,0.0,31.0,0.0,-0.19904761904761872,3.0,1.0,4010.600000000015,0.75,0.4
Connecticut,8.966319960376424,3.185240217929668,4954.868251609708,0.29696413314738335,0.058268303467431004,11.662130848720755,11.67575690219975,6.053681762230563,0.6636848650832748,0.31488523940716423,0.0,0.0,373.0,0.2,0.0,2353.453770940189,363.7159168277972,166177271.0916527,0.10600688116644527,0.08255904214316181,48.51240842238395,19.07133757311734,12890.976343615432,0.3255869794178589,0.2873308931235237,0.0,0.0,19.0,0.0,-0.19999999999999993,5.0,2.0,15010.0,0.8,0.4444444444444444
Delaware,1.2534722222222223,0.3229166666666667,1697.6788194444443,0.2904960500131941,0.06628955714866087,10.145912817423413,8.531362095587609,16.774980286763586,0.5992201122581258,-0.037037875342461446,0.0,0.0,467.0,0.2,0.0,16.572161835748776,1.519891304347826,25228071.999272346,0.09605592871180575,0.07341008988939446,4.070892019662125,1.2328387178977736,5022.755419017767,0.3099289091256344,0.27094296427365383,0.0,0.0,10.0,0.0,-0.15,3.0,1.0,3901.0,0.7,0.38626893939393936
District of Columbia,48.79504748166847,12.064551027767761,35643.534499338864,0.29603234735013434,0.06485352990966586,27.802968552958713,26.543524558429873,8.29182838433984,0.6533441030382743,0.4221673358098629,1.0,0.0,1300.0,0.2448863636363636,0.0,306938.1201606,14273.01596875618,34250354324.286552,0.09670515071828034,0.0673683448673858,554.0199636841618,119.46972825262549,185068.5125143836,0.3109745177957196,0.25955412704749237,0.0,0.0,38.0,0.0,-0.1555555555555555,18.0,5.0,20275.100000000006,0.75,0.4
Florida,3.6254491124470847,1.3097364021201665,29083.49738536516,0.304344043559179,0.06691469895633229,29.62255210531033,32.83132555210267,12.099007842112988,0.5888926039031158,0.47036993238649244,0.0,0.0,780.0,0.25,0.0,1246.003534461223,267.8411997561974,52865831023.54062,0.0991850996846664,0.07474672936792068,35.298775254408234,16.365854690672204,229925.7076177882,0.314936659797913,0.27339848091736113,0.0,0.0,31.0,0.0,-0.1714285714285714,4.0,1.0,26451.0,0.75,0.425
